gene_id	gene_name	log2FoldChange.ribo.rna.guide1.293	padj.ribo.rna.guide1.293	log2FoldChange.ribo.rna.guide2.293	padj.ribo.rna.guide2.293	log2FoldChange.ribo.rna.KO.WT	padj.ribo.rna.KO.WT
ENSG00000003147.13	ICA1	-0.169265671195287	1	0.0137219396394245	1	-0.0789055203398004	0.999967370325923
ENSG00000003249.9	DBNDD1	0.169995436505464	1	0.354015867512318	1	0.260334208004363	0.999967370325923
ENSG00000003393.10	ALS2	-0.0359314047453537	1	-0.0902377627996379	1	-0.0604262356541785	0.999967370325923
ENSG00000003400.10	CASP10	0.699734169465749	1	0.0594688732657526	1	0.437678751197164	0.999967370325923
ENSG00000003402.15	CFLAR	-0.120500264203613	1	-0.166096946997698	1	-0.141478126169714	0.999967370325923
ENSG00000003436.10	TFPI	-0.169530955825272	1	-0.114505534016304	1	-0.146691724878135	0.999967370325923
ENSG00000003509.11	NDUFAF7	-0.0735878251873247	1	-0.203903484467941	1	-0.139922774694819	0.999967370325923
ENSG00000003756.12	RBM5	-0.521203674778657	1	-0.243325991624277	1	-0.388055121168387	0.795300186769045
ENSG00000003987.9	MTMR7	-0.00800856647591524	1	0.0988538849026424	1	0.0503360611653052	0.999967370325923
ENSG00000003989.12	SLC7A2	-0.134829664030016	1	-0.0589931627170806	1	-0.090747740642072	0.999967370325923
ENSG00000004059.6	ARF5	-0.00936836737989914	1	-0.115527382000345	1	-0.0634780674449924	0.999967370325923
ENSG00000004139.9	SARM1	0.0749087432596627	1	-0.0522397453556486	1	0.0141518557557524	0.999967370325923
ENSG00000004142.7	POLDIP2	0.199704674329061	1	0.115044442675171	1	0.155880026565987	0.999967370325923
ENSG00000004399.8	PLXND1	-0.0659995267477412	1	-0.300910387581924	1	-0.177261575340011	0.999967370325923
ENSG00000004455.12	AK2	0.018049701123434	1	0.00226971557464823	1	0.0105081805405341	0.999967370325923
ENSG00000004468.8	CD38	-2.93688190647954	NA	-5.33231016164295	NA	-4.71140162769419	NA
ENSG00000004478.5	FKBP4	0.0812113741293474	1	0.0449407593273348	1	0.0614823503622924	0.999967370325923
ENSG00000004487.11	KDM1A	-0.0618340591063821	1	-0.161102429605207	1	-0.112338342378505	0.999967370325923
ENSG00000004534.10	RBM6	-0.0487719271582733	1	0.0587213770276156	1	0.00384096184005832	0.999967370325923
ENSG00000004660.10	CAMKK1	0.187780161316926	1	0.0662004332019187	1	0.138182509028292	0.999967370325923
ENSG00000004700.11	RECQL	-0.069228419567415	1	-0.111230055356489	1	-0.0904542826462327	0.999967370325923
ENSG00000004766.11	CCDC132	-0.0833922435511989	1	-0.244223569740946	1	-0.164895947794427	0.999967370325923
ENSG00000004776.7	HSPB6	-1.32612948390566	NA	-0.506840349813037	NA	-0.863359189316173	NA
ENSG00000004777.14	ARHGAP33	0.113042277638383	1	-0.07811629495364	1	0.0243704601487887	0.999967370325923
ENSG00000004779.5	NDUFAB1	0.15594425933025	1	-0.0352039800956728	1	0.0602124082179633	0.999967370325923
ENSG00000004799.7	PDK4	-0.237828327437466	1	-0.0241132119768273	1	-0.134734096253435	0.999967370325923
ENSG00000004809.9	SLC22A16	-0.50643780868228	NA	-1.7653778655913	NA	-1.1232769757786	NA
ENSG00000004838.9	ZMYND10	-1.22646123225475	1	0.181221204204255	1	-0.82070012089937	0.999967370325923
ENSG00000004846.12	ABCB5	-6.00558804627645	NA	-1.70465380093594	NA	-3.04180396278775	NA
ENSG00000004848.6	ARX	-1.56054345628623	NA	-3.00516079735218	NA	-2.2877658122483	NA
ENSG00000004864.9	SLC25A13	0.0313888324359597	1	-0.0483440532156274	1	-0.0100728818169344	0.999967370325923
ENSG00000004866.14	ST7	0.0739618292565467	1	-0.035688937518522	1	0.0203342782127557	0.999967370325923
ENSG00000004897.7	CDC27	-0.165609007557548	1	-0.0381081057140287	1	-0.102984985501648	0.999967370325923
ENSG00000004939.9	SLC4A1	5.20233407073288	NA	3.85247842725666	NA	4.49520380912994	NA
ENSG00000004948.9	CALCR	2.44863869711175	NA	1.54484810228408	NA	2.01858781690811	NA
ENSG00000004961.10	HCCS	-0.0675044070078522	1	-0.162088822130823	1	-0.115188982582937	0.999967370325923
ENSG00000004975.7	DVL2	-0.0579262235218728	1	-0.178578417233315	1	-0.123492475182972	0.999967370325923
ENSG00000005007.8	UPF1	-0.0364547883459293	1	-0.0936100479856907	1	-0.0647401128430257	0.999967370325923
ENSG00000005020.8	SKAP2	-0.0216539802386175	1	-0.0947968426707246	1	-0.0595553733829748	0.999967370325923
ENSG00000005022.5	SLC25A5	0.107725205991391	1	-0.02917145100073	1	0.0401888384915256	0.999967370325923
ENSG00000005059.11	CCDC109B	0.127258727009776	1	0.0409804646588078	1	0.0861319342127813	0.999967370325923
ENSG00000005073.5	HOXA11	0.0250054165641637	1	0.0418121273953733	1	0.0334245535249711	0.999967370325923
ENSG00000005075.11	POLR2J	0.653742730490577	0.0489800727204559	0.949660868332697	0.0489800727204559	0.807348534940545	0.0879396042539509
ENSG00000005100.8	DHX33	-0.111365596675993	1	-0.0396136115825374	1	-0.0757361178376238	0.999967370325923
ENSG00000005102.8	MEOX1	-0.0818207589569793	1	0.344945147890003	1	0.0660142535199564	0.999967370325923
ENSG00000005108.11	THSD7A	-0.84035567660045	1	-0.389913395049034	1	-0.598859367999424	0.999967370325923
ENSG00000005156.7	LIG3	0.151892400199773	1	0.0190139960963151	1	0.0820279006763485	0.999967370325923
ENSG00000005175.5	RPAP3	-0.194730599555134	1	-0.169134787336674	1	-0.182429904447896	0.999967370325923
ENSG00000005187.7	ACSM3	0.528724386057055	1	0.120778150597219	1	0.381411354014972	0.999967370325923
ENSG00000005189.15	AC004381.6	-0.100991792441591	1	-0.0743218753351632	1	-0.0876644629312457	0.999967370325923
ENSG00000005194.10	CIAPIN1	0.0205889606202757	1	0.0102792161234982	1	0.0157430482452991	0.999967370325923
ENSG00000005206.12	SPPL2B	-0.130113175721319	1	-0.161566183005426	1	-0.144519144872249	0.999967370325923
ENSG00000005238.15	FAM214B	0.167036163940329	1	-0.117622573099829	1	0.0917643737980959	0.999967370325923
ENSG00000005243.5	COPZ2	-1.14079150564409	NA	-0.341467942778197	NA	-0.737175899208917	NA
ENSG00000005249.8	PRKAR2B	0.0471485290326501	1	0.00489421535928758	1	0.0260311672318967	0.999967370325923
ENSG00000005302.13	MSL3	0.00288468329569357	1	-0.0149127046925602	1	-0.00807668588184327	0.999967370325923
ENSG00000005339.8	CREBBP	-0.300818473386328	1	-0.22430473663502	1	-0.267076484989435	0.999967370325923
ENSG00000005379.11	BZRAP1	-0.404828188359358	NA	-0.24102142170767	NA	-0.325811923035329	NA
ENSG00000005436.9	GCFC2	-0.106477422886902	1	-0.146889107477417	1	-0.127176068761332	0.999967370325923
ENSG00000005448.12	WDR54	0.0135322232506283	1	-0.00760077204897238	1	0.00198123578259684	0.999967370325923
ENSG00000005469.7	CROT	0.0431463416797231	1	0.162646386227838	1	0.101833831656401	0.999967370325923
ENSG00000005471.11	ABCB4	0.507459537480491	1	0.33923640593236	1	0.397491416705166	0.999967370325923
ENSG00000005483.15	KMT2E	-0.0635677405912426	1	-0.113796543969013	1	-0.0869443350487844	0.999967370325923
ENSG00000005486.12	RHBDD2	0.435298951680068	1	0.309763358061092	1	0.377137621832606	0.814557740311875
ENSG00000005513.9	SOX8	0.46231497303672	1	0.208095014388436	1	0.367295635785485	0.999967370325923
ENSG00000005700.10	IBTK	-0.264748996906118	1	0.0137281567292499	1	-0.124676067038006	0.999967370325923
ENSG00000005801.12	ZNF195	-0.164641336571696	1	-0.226271905871782	1	-0.196314057234603	0.999967370325923
ENSG00000005810.13	MYCBP2	-0.452355541956987	0.475777323146417	-0.277639904114657	0.475777323146417	-0.368974429661063	0.371957102381549
ENSG00000005812.6	FBXL3	0.145765832000094	1	0.272867301291736	1	0.206161431651045	0.999967370325923
ENSG00000005844.13	ITGAL	0.121535300815628	NA	-1.79141219681422	NA	-1.21263447620736	NA
ENSG00000005882.7	PDK2	0.0336264806076136	1	-0.0394441165385373	1	-0.0024461963922174	0.999967370325923
ENSG00000005884.13	ITGA3	-0.658065363321112	1	-0.732252259768022	1	-0.688055467771784	0.693795969657276
ENSG00000005889.11	ZFX	-0.0649647604064909	1	0.0562444549191932	1	-0.010314607046173	0.999967370325923
ENSG00000005893.11	LAMP2	-0.0682893030158735	1	-0.0640841470074941	1	-0.0663199553005959	0.999967370325923
ENSG00000005955.8	GGNBP2	0.0026456778023198	1	0.0533075840701556	1	0.0262555833091742	0.999967370325923
ENSG00000005961.13	ITGA2B	0.114234802922734	1	0.315438505242233	1	0.208409443771057	0.999967370325923
ENSG00000005981.8	ASB4	-3.05799744290259	NA	-4.30697552008445	NA	-3.70032101321483	NA
ENSG00000006007.7	GDE1	0.248640291434429	1	0.0513016644988976	1	0.157256541262154	0.999967370325923
ENSG00000006015.13	C19orf60	0.427222842873847	1	0.305200592172204	1	0.366853650276869	0.999967370325923
ENSG00000006016.6	CRLF1	-0.509987898383609	1	0.0604252406659895	1	-0.143307106342689	0.999967370325923
ENSG00000006025.7	OSBPL7	-0.6151504169685	1	-0.19250369508805	1	-0.418338940716524	0.999967370325923
ENSG00000006042.7	TMEM98	0.113400255352638	1	0.0880774103126021	1	0.0995898432464104	0.999967370325923
ENSG00000006047.8	YBX2	0.0500887724410189	NA	4.94898958081227	NA	3.45073937741814	NA
ENSG00000006062.9	MAP3K14	-0.0838334881510246	1	-0.418409414920178	1	-0.224084881215099	0.999967370325923
ENSG00000006071.7	ABCC8	-0.627861758245112	1	-0.387771939462264	1	-0.517632811111928	0.999967370325923
ENSG00000006114.11	SYNRG	0.0638997431499394	1	0.0484288995588475	1	0.0564702844490141	0.999967370325923
ENSG00000006118.10	TMEM132A	0.154094250168627	1	0.168519374241408	1	0.16030710776994	0.999967370325923
ENSG00000006125.12	AP2B1	-0.0291406456737587	1	-0.181312179996085	1	-0.103715279711552	0.999967370325923
ENSG00000006128.7	TAC1	-0.140835030867113	1	0.0374506969620403	1	-0.0139697745533552	0.999967370325923
ENSG00000006194.6	ZNF263	0.167706195876215	1	0.163708621212784	1	0.165202443374717	0.999967370325923
ENSG00000006210.6	CX3CL1	-0.442810882308738	1	0.291753916630064	1	-0.169528227853	0.999967370325923
ENSG00000006282.15	SPATA20	-0.118711426220403	1	-0.209750915667884	1	-0.155543543472249	0.999967370325923
ENSG00000006283.13	CACNA1G	0.339636621578532	1	0.498157418468324	1	0.425305587792209	0.999967370325923
ENSG00000006327.9	TNFRSF12A	-0.151297268327251	1	0.00543721309787953	1	-0.0840878655068377	0.999967370325923
ENSG00000006377.9	DLX6	-0.154310308438718	1	-0.233715213903021	1	-0.190286003020666	0.999967370325923
ENSG00000006432.11	MAP3K9	-0.122627628906625	1	-0.470366048575963	1	-0.256775207144459	0.999967370325923
ENSG00000006451.3	RALA	0.0137091554512968	1	0.198361468709078	1	0.101210703527071	0.999967370325923
ENSG00000006453.9	BAIAP2L1	-0.0631704291575636	1	-0.151055433842219	1	-0.108522963071691	0.999967370325923
ENSG00000006459.6	JHDM1D	0.0245132717293166	1	-0.0197291720231364	1	0.00715070994911286	0.999967370325923
ENSG00000006468.9	ETV1	0.210239553039147	1	0.428632526727181	1	0.277968865332433	0.999967370325923
ENSG00000006530.11	AGK	0.0673100536603204	1	0.105106789350123	1	0.0850631188133588	0.999967370325923
ENSG00000006534.11	ALDH3B1	-0.804071663399322	1	-0.373851964042729	1	-0.656533815165975	0.999967370325923
ENSG00000006555.6	TTC22	0.437877648520672	NA	-0.354925301153853	NA	0.238203706031076	NA
ENSG00000006576.12	PHTF2	-0.232306430345231	1	-0.10647931908801	1	-0.171925595240553	0.999967370325923
ENSG00000006606.4	CCL26	-3.40554377557457	NA	-1.75355213345262	NA	-2.5541646124296	NA
ENSG00000006607.9	FARP2	-0.0153050858552695	1	-0.129521940802376	1	-0.0692333499335614	0.999967370325923
ENSG00000006611.11	USH1C	-2.18939785226596	1	0.237306924882957	1	0.0484706846744524	0.999967370325923
ENSG00000006625.13	GGCT	0.174015818812748	1	0.204147077216377	1	0.18874828834901	0.999967370325923
ENSG00000006634.3	DBF4	0.0438155063817947	1	0.136517871416424	1	0.0872262903421965	0.999967370325923
ENSG00000006638.7	TBXA2R	0.387395642355198	1	0.365294892942946	1	0.370691276530319	0.999967370325923
ENSG00000006652.9	IFRD1	0.0776460465261226	1	0.14698659689924	1	0.11259724071185	0.999967370325923
ENSG00000006695.6	COX10	0.0693835187953266	1	-0.0594904999631606	1	0.00572669581921975	0.999967370325923
ENSG00000006704.6	GTF2IRD1	0.198710644695202	1	0.0430751772167817	1	0.121696860725016	0.999967370325923
ENSG00000006712.10	PAF1	0.0615593506200422	1	-0.0430704821494797	1	0.0112592669704118	0.999967370325923
ENSG00000006715.11	VPS41	-0.233212106888166	1	-0.0450853093062469	1	-0.143403440887354	0.999967370325923
ENSG00000006740.12	ARHGAP44	0.0377340292175564	1	0.205540595660442	1	0.11935501964999	0.999967370325923
ENSG00000006744.14	ELAC2	0.0263749763580633	1	-0.0677754579973807	1	-0.0207728469737291	0.999967370325923
ENSG00000006747.10	SCIN	0.130587441224316	1	0.159096623729919	1	0.141616724061072	0.999967370325923
ENSG00000006756.11	ARSD	-1.1200267775759	NA	-4.71193395946648	NA	-2.19696517654093	NA
ENSG00000006831.9	ADIPOR2	0.263877118031733	1	0.292566091126063	1	0.278396197989878	0.250675377840391
ENSG00000006837.7	CDKL3	0.00165367054336274	1	0.433963840123522	1	0.228444419414689	0.999967370325923
ENSG00000007047.10	MARK4	-0.0576478914158503	1	-0.0145977937992308	1	-0.0347190650944296	0.999967370325923
ENSG00000007062.7	PROM1	-1.14689190685356	1	0.151745176463754	1	0.0573253773266816	0.999967370325923
ENSG00000007080.6	CCDC124	0.154305842292633	1	0.0803931072331958	1	0.116165492110068	0.999967370325923
ENSG00000007129.13	CEACAM21	2.89837292986658	NA	2.1873668484992	NA	2.73056327146254	NA
ENSG00000007168.8	PAFAH1B1	-0.0556603508536691	1	0.0282652783669388	1	-0.0141038985709128	0.999967370325923
ENSG00000007171.12	NOS2	-0.0714622522932026	1	0.162873405772565	1	0.0376715146267253	0.999967370325923
ENSG00000007202.10	KIAA0100	-0.0238380435041989	1	-0.111405607478311	1	-0.064152010534069	0.999967370325923
ENSG00000007216.10	SLC13A2	-0.589613200986289	NA	-0.354895364792917	NA	-0.434102556106585	NA
ENSG00000007237.14	GAS7	-0.315089289798789	1	-0.224665472740393	1	-0.268535929429659	0.999967370325923
ENSG00000007255.6	TRAPPC6A	0.0700922724782299	1	-0.0988225996524259	1	-0.0228165837867321	0.999967370325923
ENSG00000007264.9	MATK	0.0332887395158994	1	0.0591274939236751	1	0.0532892048629198	0.999967370325923
ENSG00000007306.10	CEACAM7	0.994940116906765	NA	-0.354963291071445	NA	0.287197674522597	NA
ENSG00000007312.8	CD79B	0.96928675743652	NA	2.09082620429022	NA	1.35120855382719	NA
ENSG00000007314.7	SCN4A	-1.44334927765076	NA	-1.28500104360391	NA	-1.36420749230187	NA
ENSG00000007341.14	ST7L	-0.113040900241581	1	0.152995108016769	1	0.0211438716128396	0.999967370325923
ENSG00000007350.12	TKTL1	-1.17549409236082	1	0.319452652718773	1	-0.735081406442882	0.999967370325923
ENSG00000007372.16	PAX6	0.0858800302479668	1	-0.0458421476623296	1	0.0265143763018247	0.999967370325923
ENSG00000007376.3	RPUSD1	0.30151538771705	1	0.454879693434034	1	0.375378730539979	0.850695480176496
ENSG00000007384.11	RHBDF1	-0.231496386750866	1	-0.463940826174979	1	-0.311958157546135	0.999967370325923
ENSG00000007392.12	LUC7L	0.624240238187722	0.084953307948654	0.671271631577651	0.084953307948654	0.642329703762393	0.860778086447262
ENSG00000007402.7	CACNA2D2	-0.00113173352045484	1	-0.0984945521005032	1	-0.0458793784108839	0.999967370325923
ENSG00000007516.9	BAIAP3	0.282114052792132	1	-0.734137132091441	1	-0.177113668522646	0.999967370325923
ENSG00000007520.3	TSR3	0.61289762800115	0.648861467662926	0.434862549587387	0.648861467662926	0.524706657285228	0.140207973589924
ENSG00000007541.10	PIGQ	0.0396922719574433	1	0.159417718438406	1	0.0852198948516359	0.999967370325923
ENSG00000007545.11	CRAMP1L	-0.178039077388205	1	-0.303021997589473	1	-0.230838234753001	0.999967370325923
ENSG00000007866.14	TEAD3	-0.0248911591221245	1	-0.303668987953132	1	-0.161181267211818	0.999967370325923
ENSG00000007908.11	SELE	0.912357997762335	NA	1.05614379340296	NA	0.977026466300594	NA
ENSG00000007923.11	DNAJC11	-0.117309768646848	1	-0.111871972902805	1	-0.114456902482671	0.999967370325923
ENSG00000007933.8	FMO3	-0.515362174994342	NA	1.05874785119595	NA	0.285197421259589	NA
ENSG00000007944.10	MYLIP	0.154229371935299	1	0.357532917579047	1	0.256365895047816	0.999967370325923
ENSG00000007968.6	E2F2	0.168680801145349	1	0.147339297712045	1	0.161575090483755	0.999967370325923
ENSG00000008018.8	PSMB1	0.0407180953888222	1	0.00600615626940737	1	0.0230947162062145	0.999967370325923
ENSG00000008056.8	SYN1	0.913275067949778	1	1.85306869242754	1	1.17127615947565	0.999967370325923
ENSG00000008083.9	JARID2	-0.134991423759474	1	-0.107610068962886	1	-0.121196695750138	0.999967370325923
ENSG00000008086.6	CDKL5	0.0834424957355853	1	0.117226786366219	1	0.100029594977299	0.999967370325923
ENSG00000008118.5	CAMK1G	-1.54452467515389	1	0.364309520416149	1	-0.517107901725355	0.999967370325923
ENSG00000008128.18	CDK11A	0.0208374572516032	1	0.392593237636095	1	0.197027764194786	0.999967370325923
ENSG00000008130.11	NADK	-0.0639707735964556	1	-0.0655036385788116	1	-0.066100641863169	0.999967370325923
ENSG00000008226.15	DLEC1	-1.87640807161213	NA	1.69572952401833	NA	-0.73825506884434	NA
ENSG00000008256.11	CYTH3	-0.209508522305274	1	0.310521826655369	1	0.0748679233867736	0.999967370325923
ENSG00000008277.10	ADAM22	-0.136265306152487	1	0.0188636876283462	1	-0.0629075146453197	0.999967370325923
ENSG00000008282.3	SYPL1	-0.0214934081509576	1	-0.10273982632063	1	-0.0615083917790068	0.999967370325923
ENSG00000008283.11	CYB561	-0.47882719164931	1	1.29229198692978	1	-0.226719951479839	0.999967370325923
ENSG00000008294.16	SPAG9	-0.148390152462656	1	-0.00467954129279272	1	-0.0782618839941472	0.999967370325923
ENSG00000008300.10	CELSR3	-1.03133329437427	1	-0.511181131325375	1	-0.732771298148336	0.999967370325923
ENSG00000008311.10	AASS	-0.321770072619463	1	-0.156663419828066	1	-0.245845166076701	0.999967370325923
ENSG00000008324.6	SS18L2	0.0214167614094572	1	0.0296553818568442	1	0.0233961661083127	0.999967370325923
ENSG00000008382.11	MPND	-0.37170049747115	1	-0.321212447935105	1	-0.346951544423677	0.999967370325923
ENSG00000008394.8	MGST1	0.0688161718608828	1	0.0577634766019545	1	0.0635265929938758	0.999967370325923
ENSG00000008405.7	CRY1	0.0222034982083322	1	0.0152880142152875	1	0.0200703459227412	0.999967370325923
ENSG00000008441.12	NFIX	0.15183120783225	1	-0.00868689265701971	1	0.0828830637298322	0.999967370325923
ENSG00000008513.10	ST3GAL1	0.280459376185322	1	0.125808901319975	1	0.204777421418284	0.999967370325923
ENSG00000008516.12	MMP25	-0.541052117692667	1	-0.684048986097016	1	-0.591011944976905	0.999967370325923
ENSG00000008517.12	IL32	-0.0640830193218422	1	0.104458426208878	1	-0.00939288501430736	0.999967370325923
ENSG00000008710.13	PKD1	-0.608228370373153	1	-0.419833505865566	1	-0.514285900266623	0.961738824124025
ENSG00000008735.10	MAPK8IP2	0.167945082177667	1	-0.105368411658482	1	0.0447469674938153	0.999967370325923
ENSG00000008838.13	MED24	-0.0483976262109108	1	-0.112557694414918	1	-0.080067413534889	0.999967370325923
ENSG00000008853.12	RHOBTB2	-0.288471863655502	1	-0.29692393714328	1	-0.300040981458827	0.999967370325923
ENSG00000008869.7	HEATR5B	-0.252079968182292	1	-0.114618840330179	1	-0.187805223431557	0.999967370325923
ENSG00000008952.12	SEC62	-0.150611385608882	1	0.00331272207731633	1	-0.071333753295478	0.999967370325923
ENSG00000008988.5	RPS20	0.182846467583055	1	0.0811278177048361	1	0.131490342572258	0.999967370325923
ENSG00000009307.11	CSDE1	-0.123270802077308	1	-0.249015419800345	1	-0.186498911901783	0.999967370325923
ENSG00000009335.13	UBE3C	-0.0528803953455942	1	-0.0664924829615457	1	-0.0583679419766015	0.999967370325923
ENSG00000009413.11	REV3L	-0.239690770989211	1	-0.10006718435345	1	-0.174306839515774	0.999967370325923
ENSG00000009694.9	TENM1	-0.372447817996095	1	-0.336355684962154	1	-0.356192889705625	0.999967370325923
ENSG00000009709.7	PAX7	0.80907660934951	NA	-4.48413912791232	NA	-2.91138378981164	NA
ENSG00000009724.12	MASP2	1.25392776431466	NA	-0.801626409018074	NA	0.434043563792563	NA
ENSG00000009765.10	IYD	-0.461162753707017	NA	-0.287713665698691	NA	-0.358526011941728	NA
ENSG00000009780.11	FAM76A	0.176552730663124	1	0.259511076840846	1	0.218852737791846	0.999967370325923
ENSG00000009790.10	TRAF3IP3	-3.52067918406402	NA	1.06093295732944	NA	-1.63506937091146	NA
ENSG00000009830.7	POMT2	0.0311372600852623	1	-0.240064254909875	1	-0.0925765605679881	0.999967370325923
ENSG00000009844.11	VTA1	0.149432660965135	1	0.194790941511366	1	0.171686373789632	0.999967370325923
ENSG00000009950.11	MLXIPL	-0.258262907546697	1	-0.198936077881537	1	-0.230316633814754	0.999967370325923
ENSG00000009954.6	BAZ1B	-0.079006415522419	1	0.10802230823559	1	0.0176388614695389	0.999967370325923
ENSG00000010017.9	RANBP9	-0.0507348643129106	1	-0.127038837160535	1	-0.0929615116699452	0.999967370325923
ENSG00000010030.9	ETV7	-4.53501032988508	NA	-4.76247691969745	NA	-4.69212564857593	NA
ENSG00000010072.11	SPRTN	-0.0626187424619683	1	-0.0240399850010509	1	-0.0441129259339649	0.999967370325923
ENSG00000010165.15	METTL13	-0.188633441201187	1	-0.0952391703318669	1	-0.144169091895753	0.999967370325923
ENSG00000010219.9	DYRK4	0.249435540222807	1	0.0277254772877845	1	0.1398249315529	0.999967370325923
ENSG00000010244.12	ZNF207	0.158934814252955	1	0.0650002703929767	1	0.113400849353243	0.999967370325923
ENSG00000010256.6	UQCRC1	0.141155389618816	1	0.0500831067573366	1	0.0955182512813699	0.999967370325923
ENSG00000010270.9	STARD3NL	0.156690283883648	1	0.213885970846512	1	0.184289528117788	0.999967370325923
ENSG00000010278.7	CD9	-0.017379166308905	1	-0.095440327095316	1	-0.057193003768628	0.999967370325923
ENSG00000010282.10	HHATL	-2.00624172718937	NA	-0.354247868480877	NA	-1.15477308999505	NA
ENSG00000010292.8	NCAPD2	-0.0317907140109864	1	-0.0825990337099401	1	-0.0574173953471928	0.999967370325923
ENSG00000010295.15	IFFO1	-0.221183075221501	1	-0.171280914864923	1	-0.196859383090888	0.999967370325923
ENSG00000010310.4	GIPR	-0.313312707330938	1	1.86855450354871	1	0.981165785951833	0.999967370325923
ENSG00000010318.15	PHF7	0.521817729365783	1	0.175459410241711	1	0.332582171705944	0.999967370325923
ENSG00000010319.2	SEMA3G	-0.348551423496356	1	0.428746292887575	1	0.051040892499738	0.999967370325923
ENSG00000010322.11	NISCH	-0.13600246568195	1	-0.041414712064577	1	-0.0900716209634274	0.999967370325923
ENSG00000010327.6	STAB1	1.52854507298541	NA	0.156193582668862	NA	0.85047732137504	NA
ENSG00000010361.9	FUZ	0.00834360783444493	1	0.0583597235769334	1	0.0327329861580818	0.999967370325923
ENSG00000010404.13	IDS	0.238874575276373	1	-0.517070293040091	1	-0.109741951372333	0.999967370325923
ENSG00000010438.12	PRSS3	-2.03963665235002	NA	-1.88128841830318	NA	-1.96057610745526	NA
