gene_id	Symbol	tpm_cutoff	log2FoldChange.mem.cyt.293_1	log2FoldChange.mem.cyt.293_2	tc_CDS_norm
ENSG00000005156.7	LIG3	30.54	-1.35665129742886	-0.774260292912548	0.180091683038638
ENSG00000005175.5	RPAP3	21.77	-1.67238377610755	-1.01152714134752	0.482315112540193
ENSG00000005189.15	AC004381.6	13.52	-0.53010646482041	-0.325072364018222	NA
ENSG00000005194.10	CIAPIN1	94.13	-0.595169953568722	-0.22898733915069	NA
ENSG00000005249.8	PRKAR2B	33.995	-0.450909923153412	-0.322443609278556	0.0882482718046772
ENSG00000005302.13	MSL3	35.575	-0.334941486123863	-0.0842563985173891	NA
ENSG00000005339.8	CREBBP	10.995	0.375614338033853	-0.153416870779238	NA
ENSG00000005436.9	GCFC2	17.33	-0.627630852612851	-0.233289438413063	NA
ENSG00000005448.12	WDR54	31.12	0.069326942495746	0.518866815240365	NA
ENSG00000005486.12	RHBDD2	28.68	2.90377846741859	2.37940699196372	NA
ENSG00000005700.10	IBTK	22.07	-0.780158027366154	-0.653514256841467	NA
ENSG00000005801.12	ZNF195	11.955	-0.354205658902486	-0.220049781233203	0.794646591384358
ENSG00000005810.13	MYCBP2	20.32	-0.940172821948985	-0.454050921683384	0.221456692913386
ENSG00000005812.6	FBXL3	23.61	-0.296358887193266	-0.25341613826498	NA
ENSG00000005882.7	PDK2	17.135	-0.0282348865765715	0.0194566609670923	0.758681062153487
ENSG00000005893.11	LAMP2	43.945	4.21060127147937	4.36785899557943	15.7128228467402
ENSG00000005955.8	GGNBP2	26.975	-1.00147561532013	-0.635459810495295	NA
ENSG00000006007.7	GDE1	74.005	1.23054212612696	1.4577029355389	0.635092223498412
ENSG00000006015.13	C19orf60	29.145	0.915820480371199	-0.14697650942938	NA
ENSG00000006042.7	TMEM98	57.515	1.99167071363881	2.03617331339993	0.521603060071286
ENSG00000006118.10	TMEM132A	15.985	3.33778999917225	3.60008208937051	11.5420706912731
ENSG00000006125.12	AP2B1	73.455	-0.770342561893475	-0.326666368106427	0.884895514260432
ENSG00000006194.6	ZNF263	40.535	-0.130682155547389	0.081537561711229	NA
ENSG00000006282.15	SPATA20	12.33	0.598205378354919	0.16267677706321	NA
ENSG00000006327.9	TNFRSF12A	10.82	2.47671773429352	1.71500232775332	NA
ENSG00000006451.3	RALA	21.235	-0.390254822291418	-0.413388016788216	NA
ENSG00000006453.9	BAIAP2L1	17.585	-0.15159484156668	-0.175058207821927	0.341199886266705
ENSG00000006530.11	AGK	39.92	-0.258907865709313	-0.138541168888843	NA
ENSG00000006576.12	PHTF2	12.26	2.75691545430424	2.71094203456547	NA
ENSG00000006607.9	FARP2	27.005	-0.609185629123244	-0.262362505371293	NA
ENSG00000006625.13	GGCT	85.735	-0.657830963760104	-0.588747754951513	NA
ENSG00000006634.3	DBF4	14.7	-0.420942072754732	-0.133554957538874	0.136054421768707
ENSG00000006652.9	IFRD1	44.53	-0.110825009575707	-0.226443567869115	0.606332809342017
ENSG00000006695.6	COX10	17.57	0.0549376109221636	0.259558162042713	NA
ENSG00000006704.6	GTF2IRD1	14.395	0.525363443235249	0.226690654231133	NA
ENSG00000006712.10	PAF1	108.535	-1.03937446295649	-0.525485875699663	0.654166858617036
ENSG00000006715.11	VPS41	10.77	-1.01633501195621	-0.729397987828667	NA
ENSG00000006744.14	ELAC2	64.015	-1.07554060135493	-0.400414620925633	NA
ENSG00000006831.9	ADIPOR2	59.21	1.67956900765847	1.42972266273031	1.43556831616281
ENSG00000007047.10	MARK4	15.075	-0.0997215211882709	0.232215115468695	NA
ENSG00000007080.6	CCDC124	172.27	-0.495877957177147	-0.499897527126675	NA
ENSG00000007168.8	PAFAH1B1	40.98	-0.93109250592844	-0.50206809982792	0.951683748169839
ENSG00000007202.10	KIAA0100	71.865	1.14571387954026	1.80257820509451	NA
ENSG00000007255.6	TRAPPC6A	51.08	-0.209047351182589	-0.469217731649888	NA
ENSG00000007264.9	MATK	26.755	-0.078317686025502	-0.188998466058572	NA
ENSG00000007341.14	ST7L	27.23	2.60729196367973	2.23131509577128	NA
ENSG00000007372.16	PAX6	17	-0.398325657978738	-0.0932282817611502	NA
ENSG00000007376.3	RPUSD1	42.53	0.374732859770455	0.108630131661766	NA
ENSG00000007392.12	LUC7L	48.165	-0.477810804559894	-0.395934396710995	NA
ENSG00000007520.3	TSR3	48.36	-0.030152905206932	-0.128981790399692	NA
ENSG00000007541.10	PIGQ	24.7	2.24376202412561	1.94198121336829	4.73684210526316
ENSG00000007545.11	CRAMP1L	15	0.262455862160088	0.0383564272992467	NA
ENSG00000007923.11	DNAJC11	44.385	-0.613434848419306	-0.588511092378658	0.394277345950208
ENSG00000007944.10	MYLIP	10.375	0.0219077387608904	-0.100669217560627	NA
ENSG00000007968.6	E2F2	13.14	0.318379449464293	0.340660069585675	0.532724505327245
ENSG00000008018.8	PSMB1	403.23	-0.759525837101391	-0.469529077007967	0.0173598194578776
ENSG00000008128.18	CDK11A	22.185	-0.642581194078822	-0.747656304510628	NA
ENSG00000008130.11	NADK	61.545	0.0538441894281027	-0.07764689889254	0.178731009830206
ENSG00000008282.3	SYPL1	75.5	3.63453258057711	3.71337958148583	4.41059602649007
ENSG00000008294.16	SPAG9	38.715	-0.790479889191136	-0.56415608449836	NA
ENSG00000008311.10	AASS	13.81	0.189194093468705	-0.120686277267897	NA
ENSG00000008324.6	SS18L2	30.91	-0.487779467281099	-0.437111059261672	NA
ENSG00000008382.11	MPND	20.03	-0.499623240236779	-0.452845043756511	NA
ENSG00000008394.8	MGST1	107.01	2.36959351986728	3.27122933655662	0.0513970656947949
ENSG00000008405.7	CRY1	15.595	-0.435270728954675	-0.475469427129033	0.352677140109009
ENSG00000008441.12	NFIX	11.63	-0.282685248992439	-0.423061574733859	0.644883920894239
ENSG00000008517.12	IL32	13.695	-0.0962991615217255	0.338604460060672	NA
ENSG00000008710.13	PKD1	26.435	1.72157513619784	0.408349871386643	NA
ENSG00000008735.10	MAPK8IP2	17.235	-0.293995344129815	-0.569885029021139	NA
ENSG00000008838.13	MED24	75.73	0.175088783588085	0.196007390006704	0.732866763501915
ENSG00000008952.12	SEC62	18.335	2.25050360200467	2.44960949517835	0.327242977911099
ENSG00000008988.5	RPS20	1904.01	-0.891616718069488	-0.469115329332999	NA
ENSG00000009307.11	CSDE1	267.49	-1.2701945733275	-0.816329114465471	0.401884182586265
ENSG00000009335.13	UBE3C	55.34	-0.0222412599243161	-0.0755183780318326	0.144560896277557
ENSG00000009844.11	VTA1	36.005	-0.88456586915696	-0.498100778051765	0.527704485488127
ENSG00000009954.6	BAZ1B	30.375	-1.01980262626652	-0.730687330755241	NA
ENSG00000010017.9	RANBP9	24.395	-0.204611172962238	-0.355345189555971	NA
ENSG00000010072.11	SPRTN	23.905	-0.804181330870203	-0.309430141845685	NA
ENSG00000010165.15	METTL13	25.195	-0.629752592380556	-0.440319446286251	NA
ENSG00000010219.9	DYRK4	37.305	-0.135682836605756	-0.0617925882143283	NA
ENSG00000010244.12	ZNF207	126.28	-0.845840049093504	-0.197440746858896	0.399904973075705
ENSG00000010256.6	UQCRC1	218.74	-0.48893024775229	-0.0707598308029776	0.0640029258480388
ENSG00000010270.9	STARD3NL	40.755	0.980455007756028	0.928745582954154	2.58863943074469
ENSG00000010278.7	CD9	102.54	4.77707293327039	4.54108633848386	2.44782523893115
ENSG00000010292.8	NCAPD2	103.145	-0.323474979560948	-0.307657635201021	0.790149789131805
ENSG00000010295.15	IFFO1	13.075	0.649837018536066	-0.0791071735164973	NA
ENSG00000010322.11	NISCH	20.305	0.756688989341705	0.243245305854257	NA
ENSG00000010361.9	FUZ	63.14	0.081842016915003	0.0365082397022785	0.182134938232499
ENSG00000010404.13	IDS	16.655	0.221947860807992	0.127653727599031	NA
ENSG00000010539.7	ZNF200	13.09	-0.104358931315677	0.130429683824671	NA
ENSG00000010803.12	SCMH1	28.4	-0.141676615946471	-0.074180492436571	0.158450704225352
ENSG00000010810.13	FYN	56.785	0.371368364605402	0.195545115996183	0.105661706436559
ENSG00000011007.8	TCEB3	23.355	-0.78667041665991	-0.416248362350367	NA
ENSG00000011009.6	LYPLA2	41.895	-0.139944641016762	-0.376530304895212	0.143215180809166
ENSG00000011052.17	NME2	231.435	0.45502025869806	-0.475697918583563	0.479616306954436
ENSG00000011105.7	TSPAN9	10.05	3.79873562999887	2.766901179945	2.03980099502488
ENSG00000011132.7	APBA3	14.925	0.61854362174634	0.111715168819081	NA
ENSG00000011143.12	MKS1	23.995	-0.409986736088719	-0.354442890579445	NA
ENSG00000011198.3	ABHD5	10.46	-0.316158081973547	0.387680064389145	NA
ENSG00000011201.6	KAL1	11.395	4.93367218545028	4.62032331405466	16.3229486616937
ENSG00000011243.13	AKAP8L	48.785	-0.796652244320297	-0.595404675945447	NA
ENSG00000011258.11	MBTD1	15.765	-0.492286443096134	-0.414196884340831	1.99809705042816
ENSG00000011260.9	UTP18	73.06	-1.76135957579537	-1.0915090609581	NA
ENSG00000011275.14	RNF216	11.28	-0.417794257601991	-0.34399000374266	NA
ENSG00000011295.11	TTC19	43.965	0.517761200278957	0.344081166883211	0.193335607869896
ENSG00000011304.12	PTBP1	243.045	-1.291243847829	-0.820779448763454	1.13764940648851
ENSG00000011332.15	DPF1	12.125	-0.0431191236625508	0.156301326339735	NA
ENSG00000011376.5	LARS2	13.935	-0.662219214351704	-0.227363753563307	NA
ENSG00000011426.6	ANLN	19.275	0.801294203272089	1.20230576163215	1.11543450064851
ENSG00000011451.13	WIZ	20.26	0.2710431128949	-0.425787499098717	NA
ENSG00000011454.12	RABGAP1	11.25	-0.870319708544208	-0.840642762666181	2.48888888888889
ENSG00000011478.7	QPCTL	10.905	2.93951597294794	3.44050158921056	5.91471801925722
ENSG00000011485.10	PPP5C	122.29	-0.791232826893618	-0.585159954112243	0.825905634148336
ENSG00000011638.6	TMEM159	13.095	1.23445728344945	0.959027955370274	NA
ENSG00000012048.15	BRCA1	21.6	-0.434895271557399	-0.433514341082232	NA
ENSG00000012061.11	ERCC1	43.01	-0.126642479224834	-0.103068165721639	0.244129272262265
ENSG00000012174.7	MBTPS2	23.815	3.95853007473476	3.6287026502616	33.3823220659248
ENSG00000012232.4	EXTL3	22.665	2.53938160110765	2.26834550682318	0.794176042356056
ENSG00000012660.9	ELOVL5	94.685	2.5172935499149	2.53318629586265	11.59106511063
ENSG00000012822.11	CALCOCO1	19.125	-1.26447026379834	-0.709857028895973	NA
ENSG00000012963.9	UBR7	43.02	-0.523593157861735	-0.349280114651513	NA
ENSG00000012983.7	MAP4K5	15.68	-0.757603517898619	-0.949631804926527	NA
ENSG00000013275.3	PSMC4	195.875	-0.601988502997075	-0.158776096376899	0.186343331206126
ENSG00000013306.11	SLC25A39	133.01	0.135616413749291	0.173010098482562	0.0375911585595068
ENSG00000013374.11	NUB1	45.775	-1.04529194368223	-0.65249498145088	NA
ENSG00000013375.11	PGM3	22.18	-1.03641202166657	-0.655367288158137	0.225428313796213
ENSG00000013441.11	CLK1	11.48	-0.218205830220642	-0.148304683875524	NA
ENSG00000013523.5	ANGEL1	21.775	2.45509473697687	2.3945833450279	NA
ENSG00000013561.13	RNF14	30.19	-0.614931518574548	-0.245858924571476	0.165617754223253
ENSG00000013563.9	DNASE1L1	32.27	0.934895919578326	0.937644847909996	NA
ENSG00000013573.12	DDX11	52.815	0.12301386688275	0.050551594190038	NA
ENSG00000013583.4	HEBP1	31.775	-0.0750217396191113	-0.167329794495214	NA
ENSG00000013810.14	TACC3	76.865	-0.488491773385306	-0.464793849062931	NA
ENSG00000014138.4	POLA2	33.09	-0.79386164757459	-0.495805807165262	NA
ENSG00000014216.11	CAPN1	30.15	-0.921607632680517	-0.270342681204222	NA
ENSG00000014641.13	MDH1	195.435	-1.04977008251083	-0.637634491611007	0.324916212551488
ENSG00000014824.9	SLC30A9	28.725	-0.340172549910884	-0.340872319507695	NA
ENSG00000014919.8	COX15	44.27	-0.405808987772406	-0.110677252517367	3.00429184549356
ENSG00000015153.10	YAF2	12.82	-0.333905505905375	-0.223173385038883	NA
ENSG00000015171.14	ZMYND11	18.095	-0.895905474967161	-0.66359108904803	NA
ENSG00000015475.14	BID	52.845	-0.0852979259590717	0.258228989232582	NA
ENSG00000015479.13	MATR3	293.52	-1.32254382799143	-0.945848749449971	0.502521122921777
ENSG00000015676.13	NUDCD3	46.12	-0.0996642085313458	0.0981504924653447	NA
ENSG00000016864.12	GLT8D1	32.88	2.70990436778451	2.58050504028633	0.942822384428224
ENSG00000017260.15	ATP2C1	24.09	2.93169957313729	2.79530111097673	6.49647156496472
ENSG00000017797.7	RALBP1	18.855	-0.614917165185259	-0.27731146632476	NA
ENSG00000018189.8	RUFY3	11.555	0.398060790418524	0.468332684551492	NA
ENSG00000018408.10	WWTR1	13.62	-0.328595600798273	-0.243961185411388	0.146842878120411
ENSG00000018510.8	AGPS	13.175	-0.937753835228332	-0.70645865770573	NA
ENSG00000018610.9	CXorf56	30.465	-1.11743016908155	-0.727660803532493	NA
ENSG00000018699.7	TTC27	10.675	-0.656635284636371	-0.549789927128504	NA
ENSG00000019995.6	ZRANB1	12.29	-0.50069344472583	-0.508342322676794	NA
ENSG00000020129.11	NCDN	15.44	-0.21707669574891	-0.289983883596652	NA
ENSG00000020256.15	ZFP64	33.015	-0.205656624588496	-0.188743903833489	2.63516583371195
ENSG00000020426.6	MNAT1	38.665	-0.950920224218229	-0.693250446213717	0.297426613216087
ENSG00000020633.14	RUNX3	10.045	0.129021401759401	0.228948746789308	NA
ENSG00000020922.8	MRE11A	21.4	-1.40915050128993	-0.833432111804291	0.233644859813084
ENSG00000021355.8	SERPINB1	15.77	0.00393946260732646	-0.0406927057294849	0.380469245402663
ENSG00000021776.6	AQR	10.16	-0.744361531470574	-0.174655380825054	0.984251968503937
ENSG00000021826.10	CPS1	10.43	-0.18667141338445	0.0429092243911248	NA
ENSG00000022267.12	FHL1	162.69	-0.156247452260332	-0.024951403469592	0.0737599114881062
ENSG00000022277.8	RTFDC1	100.75	-0.612502814637365	-0.295167346029229	0.133995037220844
ENSG00000022840.11	RNF10	93.08	-0.0055780431873611	-0.0162461465224654	0.102062741727546
ENSG00000022976.11	ZNF839	12.57	0.18319366704524	0.277327629759327	NA
ENSG00000023041.7	ZDHHC6	34.49	1.23685988179985	1.0370481216039	0.521890403015367
ENSG00000023191.12	RNH1	64.42	-0.821093691357858	-0.553748436941816	NA
ENSG00000023228.9	NDUFS1	46.085	-1.06884594878092	-0.452384666304131	0.303786481501573
ENSG00000023330.10	ALAS1	23.195	-0.184389080308961	0.102699867345795	0.323345548609614
ENSG00000023572.4	GLRX2	28.205	0.103373183314639	-0.284947827029586	NA
ENSG00000023697.8	DERA	32.505	-0.175761152697432	-0.0312214353268355	NA
ENSG00000023734.6	STRAP	197.94	-0.711522469012267	-0.371325221924246	0.0176821258967364
ENSG00000023902.9	PLEKHO1	14.915	0.190599715346687	0.442801752614605	NA
ENSG00000023909.5	GCLM	13.725	-0.586933164528908	-0.487277776636452	NA
ENSG00000024526.12	DEPDC1	32.115	0.0681606935999258	0.212232601537442	0.560485754320411
ENSG00000024862.12	CCDC28A	23.765	-0.584029011723709	-0.243505924329493	NA
ENSG00000025039.10	RRAGD	14.89	-0.410795396050487	-0.357866355877475	NA
ENSG00000025156.8	HSF2	29.49	-0.927267257532526	-0.458486670292021	0.322143099355714
ENSG00000025293.11	PHF20	11.38	-1.20935057803401	-0.730523446628082	NA
ENSG00000025423.7	HSD17B6	12.585	1.9989648350087	1.69765942870768	NA
ENSG00000025770.14	NCAPH2	57.015	-0.0511500511887317	0.140561078192445	0.254319038849426
ENSG00000025772.7	TOMM34	41.905	-0.192911810056732	-0.202111127571317	NA
ENSG00000025796.9	SEC63	22.4	3.38156115181898	2.75301565369005	32.7678571428571
ENSG00000025800.9	KPNA6	22.91	-0.801762037160326	-0.566397011974829	NA
ENSG00000026025.9	VIM	417.03	-0.999982874545857	-0.641320936725364	0.68100616262619
ENSG00000026297.11	RNASET2	22.895	2.74598409383883	2.27477768814253	NA
ENSG00000026508.12	CD44	10.03	2.92394405838566	3.13926472954427	9.32203389830508
ENSG00000027001.7	MIPEP	23.44	-0.89715402116442	-0.206168950544785	NA
ENSG00000027075.9	PRKCH	14.315	-0.255763568447437	-0.415919505489839	NA
ENSG00000027697.8	IFNGR1	22.04	3.81433570361344	3.45439954401202	2.49546279491833
ENSG00000027847.9	B4GALT7	13.49	1.75384062703267	1.8362411849993	0.259451445515196
ENSG00000028203.13	VEZT	33.165	1.70739071342626	1.46389248926947	NA
ENSG00000028310.13	BRD9	13.495	-0.250776001037695	0.0171864873422649	NA
ENSG00000028528.10	SNX1	47.825	-0.378737422141955	-0.274799102551034	NA
ENSG00000028839.5	TBPL1	38.12	-0.0852911118422207	0.130192066259959	NA
ENSG00000029153.10	ARNTL2	23.485	-0.780412565811281	-0.249385733358052	NA
ENSG00000029363.11	BCLAF1	61	-1.49832297778906	-1.19871405339093	1.04918032786885
ENSG00000029364.7	SLC39A9	28.43	2.32290712278227	2.13260661919326	2.40942666197679
ENSG00000029639.6	TFB1M	16.945	-0.644629022727681	-0.312470712673948	NA
ENSG00000029725.12	RABEP1	45.625	-0.454730454664015	-0.345909298194644	0.153424657534247
ENSG00000029993.10	HMGB3	97.79	-0.90753002753533	-0.819374484351831	NA
ENSG00000030066.9	NUP160	25.59	-0.776128874821373	-0.43739834086134	0.136772176631497
ENSG00000030110.8	BAK1	43.105	-0.218936987449345	0.121937659541382	NA
ENSG00000030582.12	GRN	72.75	5.38653957165461	4.80452351582291	3.3745704467354
ENSG00000031691.6	CENPQ	11.965	-0.756386109189234	-0.562168538538694	0.668616798997075
ENSG00000031698.8	SARS	137.435	-0.78935969110527	-0.328005454685664	0.280132426237858
ENSG00000031823.10	RANBP3	73.765	0.250204765074855	-0.0523623182839687	NA
ENSG00000032389.8	TSSC1	22.49	-0.395043124568196	-0.441316984441127	NA
ENSG00000033011.7	ALG1	18.025	3.68068211149236	3.3304551956962	3.96671289875173
ENSG00000033030.9	ZCCHC8	14.725	-0.502484867317946	0.0347537153827262	0.441426146010187
ENSG00000033050.3	ABCF2	46.245	-1.49933592900431	-0.717868584690931	0.42166720726565
ENSG00000033100.10	CHPF2	11.595	3.79684046382698	2.8988665201535	NA
ENSG00000033170.12	FUT8	11.06	2.79925636454374	2.446354315456	NA
ENSG00000033178.8	UBA6	11.015	-1.20317326664523	-0.825200256916246	0.544711756695415
ENSG00000033627.10	ATP6V0A1	27.2	2.45874351588305	2.44014248652273	13.1066176470588
ENSG00000033800.9	PIAS1	16.825	-1.12590343292414	-0.417308047503561	0.326894502228826
ENSG00000034053.10	APBA2	16.19	-0.119714814449578	-0.297910799368281	NA
ENSG00000034152.14	MAP2K3	36.035	-0.20248623720834	-0.222404661041407	NA
ENSG00000034510.4	TMSB10	1228.71	-0.0169196461525879	-0.054574683579619	NA
ENSG00000034693.10	PEX3	20.33	-0.57967202746304	-0.177412809553784	NA
ENSG00000034713.3	GABARAPL2	127.595	-0.132834216524092	-0.124753260606441	NA
ENSG00000035115.17	SH3YL1	10.675	0.373186121779494	0.213377143478383	NA
ENSG00000035141.3	FAM136A	87.23	-0.53721085152036	-0.283009745916055	NA
ENSG00000035403.12	VCL	35.23	1.39289037997351	1.36617906954874	0.3690036900369
ENSG00000035499.8	DEPDC1B	29.62	-0.129216581137478	0.0166597778005333	NA
ENSG00000035687.9	ADSS	76.785	-0.960396114288714	-0.734076009469474	0.429771439734323
ENSG00000035862.8	TIMP2	12.105	4.05200579781683	3.56612892553692	5.82403965303594
ENSG00000035928.10	RFC1	19.61	-1.056382980185	-0.81943459152244	NA
ENSG00000036054.8	TBC1D23	12.155	-0.879137238313907	-0.511433561991197	NA
ENSG00000036257.8	CUL3	42.955	-0.616615458075085	-0.433694464258745	0.488883715516238
ENSG00000036448.5	MYOM2	10.335	-0.463983890622059	-0.663012367454611	NA
ENSG00000036549.8	ZZZ3	19.715	-0.490578100633772	-0.123397535455302	NA
ENSG00000037241.3	RPL26L1	114.27	-0.314850813124926	-0.193649548823121	0.0437560164522622
ENSG00000037280.11	FLT4	20.795	0.600275329817341	0.288917335960319	0.432796345275307
ENSG00000037474.10	NSUN2	89.84	-1.15701530526301	-0.962377476466774	0.0389581478183437
ENSG00000037637.6	FBXO42	10.11	-0.182497215023044	-0.207470043409964	NA
ENSG00000037749.7	MFAP3	23.74	2.85200310441752	2.76677458888267	NA
ENSG00000037757.9	MRI1	34.605	0.119378779554254	0.21402365706343	NA
ENSG00000037897.12	METTL1	22.295	-0.384783436611176	-0.047373840383262	NA
ENSG00000038002.4	AGA	10.42	3.30773168182083	3.82152443162034	0.527831094049904
ENSG00000038210.9	PI4K2B	26.405	-0.532225797992263	-0.50424246684098	NA
ENSG00000038274.12	MAT2B	75.06	-0.461631822558265	-0.473955085943603	NA
ENSG00000038358.10	EDC4	27.09	-0.646165531427861	-0.741846853159064	NA
ENSG00000038382.13	TRIO	14.75	0.274956645729205	0.408709541070865	0.711864406779661
ENSG00000038427.11	VCAN	14.97	3.76991411063757	3.3143741823959	65.2638610554442
ENSG00000038532.10	CLEC16A	11.7	0.171921000558405	-0.057508665118656	1.11111111111111
ENSG00000039123.11	SKIV2L2	18.58	-1.62022456260923	-1.04107744567951	0.511302475780409
ENSG00000039319.12	ZFYVE16	10.52	-0.213355251921012	0.041220389954618	NA
ENSG00000039560.9	RAI14	25.56	-0.215609568505691	-0.212811129516139	0.567292644757434
ENSG00000039650.5	PNKP	21.27	-0.227543694799978	0.211973333850359	NA
ENSG00000040275.12	SPDL1	32.765	-0.547155447138543	-0.542196846055594	NA
ENSG00000040341.13	STAU2	19.655	-1.16422658387471	-0.726116442895083	NA
ENSG00000040487.8	PQLC2	13.9	2.2340363904159	2.03336755574192	NA
ENSG00000040633.8	PHF23	37.715	0.0238594423151972	0.189515748105016	NA
ENSG00000041357.11	PSMA4	320.32	-1.09895489585779	-0.788236107088706	NA
ENSG00000041802.6	LSG1	18.6	0.650092702194846	0.932512985453608	NA
ENSG00000041988.11	THAP3	24.035	0.000827579025890925	0.141499733927576	NA
ENSG00000042088.9	TDP1	41.18	-0.479567319821306	-0.019683351291615	0.121418164157358
ENSG00000042429.6	MED17	14.245	-0.741655869050678	-0.198799421149972	NA
ENSG00000042445.9	RETSAT	12.345	2.85632886245504	3.02154903992833	10.2065613608748
ENSG00000042753.7	AP2S1	221.365	0.213151823865645	0.333322585435774	0.0293632688094324
ENSG00000043039.5	BARX2	15.66	-0.232175143531624	0.0626730602124364	0.41507024265645
ENSG00000043355.6	ZIC2	28.8	-0.0396287687699795	-0.216610697266432	NA
ENSG00000043514.11	TRIT1	25.655	-0.0325635286096533	-0.0719056858133972	NA
ENSG00000044115.16	CTNNA1	89.9	-1.50814620519337	-0.876878341515984	0.717463848720801
ENSG00000044446.7	PHKA2	17.285	0.4435278210401	0.247694346929108	NA
ENSG00000044574.7	HSPA5	67.465	4.8464923855929	4.94424642365751	3.03120136367005
ENSG00000046604.8	DSG2	24.995	3.94204020366382	3.88628218455351	14.7829565913183
ENSG00000046647.9	GEMIN8	22.635	-0.0488378078154563	-0.277306628953986	NA
ENSG00000046653.10	GPM6B	20.53	3.85903487119075	3.98958969056743	NA
ENSG00000047188.11	YTHDC2	19.475	-1.42411694262791	-1.03120598679046	NA
ENSG00000047249.12	ATP6V1H	18.86	-0.47463655676475	-0.454880863106885	NA
